domainname,wallet,bid,blind
dwi,reppy,0.00,0.04
dui,reppy,0.00,0.04
dwiAL,reppy,0.00,0.04
ALdwi,reppy,0.00,0.04
dwiAK,reppy,0.00,0.04
AKdwi,reppy,0.00,0.04
dwiAZ,reppy,0.00,0.04
AZdwi,reppy,0.00,0.04
dwiAR,reppy,0.00,0.04
ARdwi,reppy,0.00,0.04
dwiCA,reppy,0.00,0.04
CAdwi,reppy,0.00,0.04
dwiCZ,reppy,0.00,0.04
CZdwi,reppy,0.00,0.04
dwiCO,reppy,0.00,0.04
COdwi,reppy,0.00,0.04
dwiCT,reppy,0.00,0.04
CTdwi,reppy,0.00,0.04
dwiDE,reppy,0.00,0.04
DEdwi,reppy,0.00,0.04
dwiDC,reppy,0.00,0.04
DCdwi,reppy,0.00,0.04
dwiFL,reppy,0.00,0.04
FLdwi,reppy,0.00,0.04
dwiGA,reppy,0.00,0.04
GAdwi,reppy,0.00,0.04
dwiGU,reppy,0.00,0.04
GUdwi,reppy,0.00,0.04
dwiHI,reppy,0.00,0.04
HIdwi,reppy,0.00,0.04
dwiID,reppy,0.00,0.04
IDdwi,reppy,0.00,0.04
dwiIL,reppy,0.00,0.04
ILdwi,reppy,0.00,0.04
dwiIN,reppy,0.00,0.04
INdwi,reppy,0.00,0.04
dwiIA,reppy,0.00,0.04
IAdwi,reppy,0.00,0.04
dwiKS,reppy,0.00,0.04
KSdwi,reppy,0.00,0.04
dwiKY,reppy,0.00,0.04
KYdwi,reppy,0.00,0.04
dwiLA,reppy,0.00,0.04
LAdwi,reppy,0.00,0.04
dwiME,reppy,0.00,0.04
MEdwi,reppy,0.00,0.04
dwiMD,reppy,0.00,0.04
MDdwi,reppy,0.00,0.04
dwiMA,reppy,0.00,0.04
MAdwi,reppy,0.00,0.04
dwiMI,reppy,0.00,0.04
MIdwi,reppy,0.00,0.04
dwiMN,reppy,0.00,0.04
MNdwi,reppy,0.00,0.04
dwiMS,reppy,0.00,0.04
MSdwi,reppy,0.00,0.04
dwiMO,reppy,0.00,0.04
MOdwi,reppy,0.00,0.04
dwiMT,reppy,0.00,0.04
MTdwi,reppy,0.00,0.04
dwiNE,reppy,0.00,0.04
NEdwi,reppy,0.00,0.04
dwiNV,reppy,0.00,0.04
NVdwi,reppy,0.00,0.04
dwiNH,reppy,0.00,0.04
NHdwi,reppy,0.00,0.04
dwiNJ,reppy,0.00,0.04
NJdwi,reppy,0.00,0.04
dwiNM,reppy,0.00,0.04
NMdwi,reppy,0.00,0.04
dwiNY,reppy,0.00,0.04
NYdwi,reppy,0.00,0.04
dwiNC,reppy,0.00,0.04
NCdwi,reppy,0.00,0.04
dwiND,reppy,0.00,0.04
NDdwi,reppy,0.00,0.04
dwiOH,reppy,0.00,0.04
OHdwi,reppy,0.00,0.04
dwiOK,reppy,0.00,0.04
OKdwi,reppy,0.00,0.04
dwiOR,reppy,0.00,0.04
ORdwi,reppy,0.00,0.04
dwiPA,reppy,0.00,0.04
PAdwi,reppy,0.00,0.04
dwiPR,reppy,0.00,0.04
PRdwi,reppy,0.00,0.04
dwiRI,reppy,0.00,0.04
RIdwi,reppy,0.00,0.04
dwiSC,reppy,0.00,0.04
SCdwi,reppy,0.00,0.04
dwiSD,reppy,0.00,0.04
SDdwi,reppy,0.00,0.04
dwiTN,reppy,0.00,0.04
TNdwi,reppy,0.00,0.04
dwiTX,reppy,0.00,0.04
TXdwi,reppy,0.00,0.04
dwiUT,reppy,0.00,0.04
UTdwi,reppy,0.00,0.04
dwiVT,reppy,0.00,0.04
VTdwi,reppy,0.00,0.04
dwiVI,reppy,0.00,0.04
VIdwi,reppy,0.00,0.04
dwiVA,reppy,0.00,0.04
VAdwi,reppy,0.00,0.04
dwiWA,reppy,0.00,0.04
WAdwi,reppy,0.00,0.04
dwiWV,reppy,0.00,0.04
WVdwi,reppy,0.00,0.04
dwiWI,reppy,0.00,0.04
WIdwi,reppy,0.00,0.04
dwiWY,reppy,0.00,0.04
WYdwi,reppy,0.00,0.04
duiAL,reppy,0.00,0.04
ALdui,reppy,0.00,0.04
duiAK,reppy,0.00,0.04
AKdui,reppy,0.00,0.04
duiAZ,reppy,0.00,0.04
AZdui,reppy,0.00,0.04
duiAR,reppy,0.00,0.04
ARdui,reppy,0.00,0.04
duiCA,reppy,0.00,0.04
CAdui,reppy,0.00,0.04
duiCZ,reppy,0.00,0.04
CZdui,reppy,0.00,0.04
duiCO,reppy,0.00,0.04
COdui,reppy,0.00,0.04
duiCT,reppy,0.00,0.04
CTdui,reppy,0.00,0.04
duiDE,reppy,0.00,0.04
DEdui,reppy,0.00,0.04
duiDC,reppy,0.00,0.04
DCdui,reppy,0.00,0.04
duiFL,reppy,0.00,0.04
FLdui,reppy,0.00,0.04
duiGA,reppy,0.00,0.04
GAdui,reppy,0.00,0.04
duiGU,reppy,0.00,0.04
GUdui,reppy,0.00,0.04
duiHI,reppy,0.00,0.04
HIdui,reppy,0.00,0.04
duiID,reppy,0.00,0.04
IDdui,reppy,0.00,0.04
duiIL,reppy,0.00,0.04
ILdui,reppy,0.00,0.04
duiIN,reppy,0.00,0.04
INdui,reppy,0.00,0.04
duiIA,reppy,0.00,0.04
IAdui,reppy,0.00,0.04
duiKS,reppy,0.00,0.04
KSdui,reppy,0.00,0.04
duiKY,reppy,0.00,0.04
KYdui,reppy,0.00,0.04
duiLA,reppy,0.00,0.04
LAdui,reppy,0.00,0.04
duiME,reppy,0.00,0.04
MEdui,reppy,0.00,0.04
duiMD,reppy,0.00,0.04
MDdui,reppy,0.00,0.04
duiMA,reppy,0.00,0.04
MAdui,reppy,0.00,0.04
duiMI,reppy,0.00,0.04
MIdui,reppy,0.00,0.04
duiMN,reppy,0.00,0.04
MNdui,reppy,0.00,0.04
duiMS,reppy,0.00,0.04
MSdui,reppy,0.00,0.04
duiMO,reppy,0.00,0.04
MOdui,reppy,0.00,0.04
duiMT,reppy,0.00,0.04
MTdui,reppy,0.00,0.04
duiNE,reppy,0.00,0.04
NEdui,reppy,0.00,0.04
duiNV,reppy,0.00,0.04
NVdui,reppy,0.00,0.04
duiNH,reppy,0.00,0.04
NHdui,reppy,0.00,0.04
duiNJ,reppy,0.00,0.04
NJdui,reppy,0.00,0.04
duiNM,reppy,0.00,0.04
NMdui,reppy,0.00,0.04
duiNY,reppy,0.00,0.04
NYdui,reppy,0.00,0.04
duiNC,reppy,0.00,0.04
NCdui,reppy,0.00,0.04
duiND,reppy,0.00,0.04
NDdui,reppy,0.00,0.04
duiOH,reppy,0.00,0.04
OHdui,reppy,0.00,0.04
duiOK,reppy,0.00,0.04
OKdui,reppy,0.00,0.04
duiOR,reppy,0.00,0.04
ORdui,reppy,0.00,0.04
duiPA,reppy,0.00,0.04
PAdui,reppy,0.00,0.04
duiPR,reppy,0.00,0.04
PRdui,reppy,0.00,0.04
duiRI,reppy,0.00,0.04
RIdui,reppy,0.00,0.04
duiSC,reppy,0.00,0.04
SCdui,reppy,0.00,0.04
duiSD,reppy,0.00,0.04
SDdui,reppy,0.00,0.04
duiTN,reppy,0.00,0.04
TNdui,reppy,0.00,0.04
duiTX,reppy,0.00,0.04
TXdui,reppy,0.00,0.04
duiUT,reppy,0.00,0.04
UTdui,reppy,0.00,0.04
duiVT,reppy,0.00,0.04
VTdui,reppy,0.00,0.04
duiVI,reppy,0.00,0.04
VIdui,reppy,0.00,0.04
duiVA,reppy,0.00,0.04
VAdui,reppy,0.00,0.04
duiWA,reppy,0.00,0.04
WAdui,reppy,0.00,0.04
duiWV,reppy,0.00,0.04
WVdui,reppy,0.00,0.04
duiWI,reppy,0.00,0.04
WIdui,reppy,0.00,0.04
duiWY,reppy,0.00,0.04
WYdui,reppy,0.00,0.04
dwiAjo,reppy,0.00,0.04
Ajodwi,reppy,0.00,0.04
dwiEly,reppy,0.00,0.04
Elydwi,reppy,0.00,0.04
dwiRye,reppy,0.00,0.04
Ryedwi,reppy,0.00,0.04
dwiAda,reppy,0.00,0.04
Adadwi,reppy,0.00,0.04
duiAjo,reppy,0.00,0.04
Ajodui,reppy,0.00,0.04
duiEly,reppy,0.00,0.04
Elydui,reppy,0.00,0.04
duiRye,reppy,0.00,0.04
Ryedui,reppy,0.00,0.04
duiAda,reppy,0.00,0.04
Adadui,reppy,0.00,0.04
DeLand,reppy,0.00,0.04
NewUlm,reppy,0.00,0.04
ElReno,reppy,0.00,0.04
DeSmet,reppy,0.00,0.04
DelRio,reppy,0.00,0.04
ElPaso,reppy,0.00,0.04
dwiTroy,reppy,0.00,0.04
Troydwi,reppy,0.00,0.04
dwiNome,reppy,0.00,0.04
Nomedwi,reppy,0.00,0.04
dwiMesa,reppy,0.00,0.04
Mesadwi,reppy,0.00,0.04
dwiYuma,reppy,0.00,0.04
Yumadwi,reppy,0.00,0.04
dwiHope,reppy,0.00,0.04
Hopedwi,reppy,0.00,0.04
dwiBrea,reppy,0.00,0.04
Breadwi,reppy,0.00,0.04
dwiLodi,reppy,0.00,0.04
Lodidwi,reppy,0.00,0.04
dwiNapa,reppy,0.00,0.04
Napadwi,reppy,0.00,0.04
dwiOjai,reppy,0.00,0.04
Ojaidwi,reppy,0.00,0.04
dwiVail,reppy,0.00,0.04
Vaildwi,reppy,0.00,0.04
dwiRome,reppy,0.00,0.04
Romedwi,reppy,0.00,0.04
dwiHilo,reppy,0.00,0.04
Hilodwi,reppy,0.00,0.04
dwiLaie,reppy,0.00,0.04
Laiedwi,reppy,0.00,0.04
dwiZion,reppy,0.00,0.04
Ziondwi,reppy,0.00,0.04
dwiGary,reppy,0.00,0.04
Garydwi,reppy,0.00,0.04
dwiPeru,reppy,0.00,0.04
Perudwi,reppy,0.00,0.04
dwiIowa,reppy,0.00,0.04
Iowadwi,reppy,0.00,0.04
dwiAmes,reppy,0.00,0.04
Amesdwi,reppy,0.00,0.04
dwiHays,reppy,0.00,0.04
Haysdwi,reppy,0.00,0.04
dwiBath,reppy,0.00,0.04
Bathdwi,reppy,0.00,0.04
dwiSaco,reppy,0.00,0.04
Sacodwi,reppy,0.00,0.04
dwiYork,reppy,0.00,0.04
Yorkdwi,reppy,0.00,0.04
dwiLynn,reppy,0.00,0.04
Lynndwi,reppy,0.00,0.04
dwiAlma,reppy,0.00,0.04
Almadwi,reppy,0.00,0.04
dwiElko,reppy,0.00,0.04
Elkodwi,reppy,0.00,0.04
dwiReno,reppy,0.00,0.04
Renodwi,reppy,0.00,0.04
dwiTaos,reppy,0.00,0.04
Taosdwi,reppy,0.00,0.04
dwiOhio,reppy,0.00,0.04
Ohiodwi,reppy,0.00,0.04
dwiKent,reppy,0.00,0.04
Kentdwi,reppy,0.00,0.04
dwiLima,reppy,0.00,0.04
Limadwi,reppy,0.00,0.04
dwiAlva,reppy,0.00,0.04
Alvadwi,reppy,0.00,0.04
